Date,Views
20170722,40
20170723,38
20170724,31
20170725,34
20170726,20
20170727,40
20170728,45
20170729,47
20170730,39
20170731,39
20170801,51
20170802,49
20170803,51
20170804,57
20170805,52
20170806,64
20170807,75
20170808,86
20170809,80
20170810,85
20170811,107
20170812,102
20170813,111
20170814,169
20170815,203
20170816,233
20170817,386
20170818,539
20170819,521
20170820,660
20170821,2373
20170822,687
20170823,144
20170824,76
20170825,56
20170826,41
20170827,42
20170828,21
20170829,25
20170830,24
20170831,11
20170901,17
20170902,19
20170903,11
20170904,21
20170905,16
20170906,4
20170907,13
20170908,12
20170909,8
20170910,10
20170911,12
20170912,4
20170913,8
20170914,6
20170915,11
20170916,6
20170917,13
20170918,11
20170919,4
20170920,8
